GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",865,79
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",989,53
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",943,55
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",948,38
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",979,47
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",945,41
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",957,33
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",706,213
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",990,84
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",1003,121
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",972,40
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",1052,100
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",987,66
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",761,332
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",1085,73
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",1076,60
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",982,44
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",1054,175
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",1133,108
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",1373,100
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",1143,87
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",1072,82
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",1069,63
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",1153,93
1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",940,71
1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",892,46
1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",901,62
1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",975,50
1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",943,50
1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois",1052,123
1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois",923,52
1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois",858,48
1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois",1375,168
1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois",949,84
1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois",791,32
1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois",992,40
1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois",831,73
1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois",1098,102
